PLAYER,GP,MIN,STEALS,BLOCKS,DEFENSIVEREB,DFGM,DFGA,DFGEF,PASSESMADE,ASTTOPASS,AST TO PASS% ADJ
Alfonzo McKinnie,72,1003,18,15,166,74,115,64.3,937,3.3,3.7
Andre Iguodala,68,1578,61,51,204,83,127,65.4,2131,10.1,11.5
Andrew Bogut,11,134,3,8,43,13,25,52,195,5.6,7.7
Damian Jones,24,410,12,25,44,51,80,63.8,409,6.8,7.8
Damion Lee,32,375,13,0,56,25,33,75.8,366,3.6,4.4
DeMarcus Cousins,30,771,40,44,204,82,137,59.9,1116,9.6,10.2
Draymond Green,66,2065,95,70,421,163,280,58.2,3869,11.7,13.2
Jacob Evans,30,204,5,3,19,18,28,64.3,245,9.4,12.7
Jonas Jerebko,73,1218,27,18,216,91,117,77.8,1699,5.7,6.4
Jordan Bell,68,788,20,51,129,98,159,61.6,1232,6.2,7.7
Kevin Durant,78,2702,58,84,464,130,222,58.6,3398,13.4,15.8
Kevon Looney,80,1481,46,53,223,144,243,59.3,1773,6.9,7.7
Klay Thompson,78,2652,84,47,262,117,192,60.9,1919,9.7,12
Marcus Derrickson,11,67,0,1,5,9,16,56.3,49,2,4.1
Quinn Cook,74,1059,20,3,135,58,73,79.5,1880,6.2,7
Shaun Livingston,64,967,31,27,75,49,71,69,1556,7.3,9.3
Stephen Curry,69,2331,92,25,324,83,116,71.6,3477,10.4,12.9
