name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
JaVale McGee,Golden State Warriors,1/23/2018,2017,3452,1610612744,400975445,4,1,6,1,Alley Oop Dunk Shot,2PT Field Goal,1,New York Knicks,-6,13,0,0,,0,0
JaVale McGee,Golden State Warriors,2/26/2018,2017,3452,1610612744,400975646,3,9,25,1,Alley Oop Dunk Shot,2PT Field Goal,1,New York Knicks,-1,12,0,0,,0,0
Kevin Durant,Golden State Warriors,12/3/2017,2017,3202,1610612744,400975086,2,1,58,1,Alley Oop Dunk Shot,2PT Field Goal,1,Miami Heat,-12,1,0,0,,0,0
David West,Golden State Warriors,12/27/2017,2017,2177,1610612744,400975260,2,10,43,1,Alley Oop Dunk Shot,2PT Field Goal,1,Utah Jazz,-10,4,0,0,,0,0
Kevin Durant,Golden State Warriors,1/13/2018,2017,3202,1610612744,400975377,2,1,22,1,Alley Oop Dunk Shot,2PT Field Goal,1,Toronto Raptors,12,5,0,0,,0,0
JaVale McGee,Golden State Warriors,4/10/2018,2017,3452,1610612744,400975963,3,2,50,1,Alley Oop Dunk Shot,2PT Field Goal,2,Utah Jazz,-20,13,0,0,,0,0
Jordan Bell,Golden State Warriors,11/6/2017,2017,,1610612744,400974899,1,1,33,1,Alley Oop Dunk Shot,2PT Field Goal,0,Miami Heat,0,-1,0,0,,0,0
Damian Jones,Golden State Warriors,3/25/2018,2017,3064559,1610612744,400975848,4,5,7,1,Alley Oop Dunk Shot,2PT Field Goal,1,Utah Jazz,-1,16,0,0,,0,0
Jordan Bell,Golden State Warriors,12/30/2017,2017,,1610612744,400975281,3,5,50,1,Alley Oop Dunk Shot,2PT Field Goal,1,Memphis Grizzlies,-5,9,0,0,,0,0
Kevin Durant,Golden State Warriors,1/30/2018,2017,3202,1610612744,400975497,3,10,45,1,Alley Oop Dunk Shot,2PT Field Goal,1,Utah Jazz,14,7,0,0,,0,0
Andre Iguodala,Golden State Warriors,4/16/2018,2017,2386,1610612744,401029446,4,2,48,1,Alley Oop Dunk Shot,2PT Field Goal,0,San Antonio Spurs,0,8,0,0,,0,0
Jordan Bell,Golden State Warriors,1/10/2018,2017,,1610612744,400975359,2,5,16,1,Alley Oop Dunk Shot,2PT Field Goal,2,Los Angeles Clippers,6,21,0,0,,0,0
JaVale McGee,Golden State Warriors,4/16/2018,2017,3452,1610612744,401029446,3,11,35,1,Alley Oop Dunk Shot,2PT Field Goal,1,San Antonio Spurs,4,11,0,0,,0,0
Kevin Durant,Golden State Warriors,2/3/2018,2017,3202,1610612744,400975528,2,4,33,1,Alley Oop Dunk Shot,2PT Field Goal,1,Denver Nuggets,-6,14,0,0,,0,0
JaVale McGee,Golden State Warriors,4/16/2018,2017,3452,1610612744,401029446,2,2,48,1,Alley Oop Dunk Shot,2PT Field Goal,1,San Antonio Spurs,-15,8,0,0,,0,0
Kevin Durant,Golden State Warriors,1/12/2018,2017,3202,1610612744,400975368,1,6,16,1,Alley Oop Dunk Shot,2PT Field Goal,0,Milwaukee Bucks,-5,6,0,0,,0,0
JaVale McGee,Golden State Warriors,4/5/2018,2017,3452,1610612744,400975921,3,10,40,1,Alley Oop Dunk Shot,2PT Field Goal,0,Indiana Pacers,3,0,0,0,,0,0
Kevon Looney,Golden State Warriors,5/4/2018,2017,3155535,1610612744,401031646,3,6,3,1,Alley Oop Dunk Shot,2PT Field Goal,1,New Orleans Pelicans,5,13,0,0,,0,0
JaVale McGee,Golden State Warriors,2/2/2018,2017,3452,1610612744,400975520,1,2,27,1,Alley Oop Dunk Shot,2PT Field Goal,18,Sacramento Kings,-105,154,0,0,,0,0
Jordan Bell,Golden State Warriors,11/24/2017,2017,,1610612744,400975027,1,9,7,1,Alley Oop Dunk Shot,2PT Field Goal,1,Chicago Bulls,-2,17,0,0,,0,0
JaVale McGee,Golden State Warriors,2/2/2018,2017,3452,1610612744,400975520,2,7,55,1,Alley Oop Dunk Shot,2PT Field Goal,1,Sacramento Kings,5,18,0,0,,0,0
JaVale McGee,Golden State Warriors,3/31/2018,2017,3452,1610612744,400975888,1,9,42,1,Alley Oop Dunk Shot,2PT Field Goal,1,Sacramento Kings,-2,18,0,0,,0,0
